Molecule,Name,Dipole,SMILES
CH2NCH3,N-methylmethanimine,1.530,C=NC
C2H3N3,"1H-1,2,4-Triazole",2.700,c1nc[nH]n1
C3H4O,Cyclopropanone,2.670,O=C1CC1
CH2CHCHO,Acrolein,3.117,C=CC=O
CH3OCHO,methyl formate,1.770,COC=O
NH2CONH2,Urea,3.830,NC(N)=O
CH3COOH,Acetic acid,1.700,CC(=O)O
CHOCH2OH,hydroxy acetaldehyde,2.340,OC1COC(O)CO1
C3H3NO,Isoxazole,2.900,c1cnoc1
CH3NO3,Methyl nitrate,3.081,CO[N+](=O)[O-]
C3H2O3,vinylene carbonate,4.510,O=c1occo1
C2H5F,fluoroethane,1.960,CCF
C2H4F2,"1,2-difluoroethane",2.670,FCCF
CH3CHF2,"Ethane, 1,1-difluoro-",2.262,CC(F)F
CH3CF3,"Ethane, 1,1,1-trifluoro-",2.320,CC(F)(F)F
CHF2CH2F,"Ethane, 1,1,2-trifluoro",2.840,CC
CF3CH2F,"1,1,1,2-tetrafluoroethane",2.058,FCC(F)(F)F
CHF2CHF2,"1,1,2,2-tetrafluoroethane",2.454,FC(F)C(F)F
CF3COOH,trifluoroacetic acid,2.280,O=C(O)C(F)(F)F
CF3CHF2,pentafluoroethane,1.563,FC(F)C(F)(F)F
C2F6,hexafluoroethane,0.000,FC(F)(F)C(F)(F)F
CH3SiFH2,fluoromethylsilane,1.700,FC[Si]
C3H3NS,Thiazole,1.620,c1cscn1
CH3CH2Cl,Ethyl chloride,2.050,CCCl
CH3CHCl2,"Ethane, 1,1-dichloro-",2.060,CC(Cl)Cl
CH2FCH2Cl,"Ethane, 1-chloro-2-fluoro-",2.720,FCCCl
CH3CCl3,"Ethane, 1,1,1-trichloro-",1.755,CC(Cl)(Cl)Cl
CH3CF2Cl,"1-Chloro-1,1-Difluoroethane",2.140,CC(F)(F)Cl
CH2ClCHCl2,"1,1,2-trichloroethane",1.500,ClCC(Cl)Cl
CHCl2CHCl2,"Ethane, 1,1,2,2-tetrachloro-",1.320,ClC(Cl)C(Cl)Cl
CCl3CHCl2,pentachloroethane,0.920,ClC(Cl)C(Cl)(Cl)Cl
CF3CHFCl,"1,1,1,2-tetrafluorochloroethane",1.469,FC(Cl)C(F)(F)F
